FileSize,3307,2339
Cir,556,1085,36
Cir,527.5,1054.99,38.5617
Cir,533.837,1058.98,36.2019
Cir,1300,1084,36
Cir,557,1083,37
Line,685,1953,685,957,996,-90,
Line,689,1954,689,959,995,-90,
Line,1169,1868,1169,961,907,-90,
Line,1173,1868,1173,957,911,-90,
Line,1231,1864,1231,957,907,-90,
Line,1235,1868,1235,957,911,-90,
Line,1424,1892,1424,1083,809,-90,
Line,1427,1907,1427,1068,839,-90,
Cir,938,554,157
Line,1560,853,1560,242,611,-90,
Line,1560,853,1560,242,611,-90,
Line,1563,853,1563,238,615,-90,
Line,1563,853,1563,238,615,-90,
Line,1874,838,1874,237,601,-90,
Line,1874,838,1874,237,601,-90,
Line,1878,853,1878,241,612,-90,
Line,1878,853,1878,241,612,-90,
